skill,prior,learn,guess,slip,n_sequences,n_obs,log_likelihood,iterations,reliable,flag_guess_ceiling,flag_low_learn,flag_high_prior,flag_sparse
74,0.7377,0.0264,0.4,0.2876,172.0,4583.0,-2849.1247,32.0,False,True,False,False,False
71,0.2005,0.656,0.3906,0.2507,168.0,2585.0,-1498.7103,100.0,False,True,False,False,False
103,0.8992,0.0015,0.4,0.3414,114.0,1330.0,-872.0832,100.0,False,True,True,False,False
83,0.7451,0.029,0.4,0.2994,229.0,5169.0,-3261.3051,66.0,False,True,False,False,False
90,0.9631,0.001,0.4,0.3369,113.0,1344.0,-865.3677,79.0,False,True,True,True,False
82,0.9261,0.0206,0.4,0.3242,115.0,1395.0,-895.2975,52.0,False,True,False,True,False
77,0.6955,0.0174,0.4,0.2587,219.0,7069.0,-4291.3827,32.0,False,True,False,False,False
30,0.7741,0.1103,0.4,0.2105,290.0,8785.0,-4682.1594,42.0,False,True,False,False,False
34,0.9377,0.0263,0.4,0.2312,231.0,6486.0,-3574.3161,40.0,False,True,False,True,False
42,0.9172,0.0722,0.4,0.2132,183.0,3138.0,-1669.3994,59.0,False,True,False,True,False
181,0.8334,0.0037,0.4,0.227,359.0,45804.0,-25416.957,18.0,False,True,True,False,False
183,0.0167,0.0384,0.3689,0.2396,827.0,53698.0,-31082.116,44.0,True,False,False,False,False
24,0.7813,0.0139,0.4,0.2015,338.0,20901.0,-11055.7068,22.0,False,True,False,False,False
43,0.6943,0.1282,0.4,0.1803,123.0,2186.0,-1118.6742,30.0,False,True,False,False,False
184,0.0886,0.0435,0.4,0.2183,825.0,36024.0,-20511.1213,29.0,False,True,False,False,False
27,0.7261,0.1625,0.4,0.1739,212.0,3555.0,-1766.0571,45.0,False,True,False,False,False
28,0.8761,0.001,0.4,0.2229,186.0,4890.0,-2722.9657,44.0,False,True,True,False,False
45,0.8091,0.1236,0.4,0.1869,173.0,3775.0,-1905.4248,31.0,False,True,False,False,False
182,0.8645,0.003,0.4,0.246,374.0,37601.0,-21637.5758,18.0,False,True,True,False,False
44,0.7906,0.0991,0.4,0.1882,278.0,5389.0,-2772.8732,44.0,False,True,False,False,False
49,0.7555,0.1949,0.4,0.1798,256.0,2162.0,-1137.7849,43.0,False,True,False,False,False
25,0.652,0.0342,0.4,0.1616,161.0,3131.0,-1644.4901,24.0,False,True,False,False,False
31,0.7734,0.0384,0.4,0.216,196.0,5761.0,-3156.6585,24.0,False,True,False,False,False
32,0.8014,0.0447,0.4,0.2113,187.0,5300.0,-2857.4822,22.0,False,True,False,False,False
185,0.3246,0.056,0.4,0.2311,749.0,25286.0,-14466.1012,26.0,False,True,False,False,False
35,0.8795,0.0365,0.4,0.2363,167.0,3779.0,-2145.5892,29.0,False,True,False,False,False
29,0.6224,0.3097,0.4,0.2307,165.0,3713.0,-2066.9733,51.0,False,True,False,False,False
72,0.9849,0.001,0.2085,0.3203,128.0,1338.0,-843.4933,50.0,False,False,True,True,False
106,0.9785,0.0656,0.4,0.3367,126.0,1826.0,-1169.9227,100.0,False,True,False,True,False
144,0.8936,0.5382,0.1171,0.2903,114.0,837.0,-514.0001,100.0,True,False,False,False,False
78,0.7039,0.0753,0.4,0.3052,171.0,3358.0,-2130.6483,77.0,False,True,False,False,False
107,0.76,0.8862,0.4,0.2547,110.0,1012.0,-583.3457,100.0,False,True,False,False,False
84,0.881,0.571,0.1731,0.3161,137.0,2327.0,-1461.2335,100.0,True,False,False,False,False
81,0.7269,0.0381,0.4,0.2884,132.0,1396.0,-894.7994,35.0,False,True,False,False,False
76,0.5216,0.037,0.4,0.297,210.0,5887.0,-3768.4929,35.0,False,True,False,False,False
99,0.2055,0.4655,0.4,0.3543,114.0,942.0,-627.0933,100.0,False,True,False,False,False
135,0.8591,0.1617,0.4,0.1284,92.0,613.0,-269.4295,33.0,False,True,False,False,False
38,0.7769,0.1036,0.4,0.2075,171.0,3616.0,-1933.3384,57.0,False,True,False,False,False
39,0.8446,0.0751,0.4,0.2073,166.0,3441.0,-1826.6095,100.0,False,True,False,False,False
26,0.7356,0.0643,0.4,0.1699,177.0,3053.0,-1547.8101,31.0,False,True,False,False,False
48,0.9036,0.0492,0.4,0.1519,115.0,1304.0,-606.6398,66.0,False,True,False,True,False
41,0.8016,0.0606,0.4,0.1765,122.0,1816.0,-930.9396,30.0,False,True,False,False,False
115,0.976,0.001,0.3907,0.3432,149.0,1003.0,-650.3246,100.0,False,True,True,True,False
95,0.8729,0.0085,0.4,0.3576,127.0,1302.0,-865.1335,100.0,False,True,True,False,False
138,0.6205,0.1225,0.4,0.2043,99.0,750.0,-442.5977,34.0,False,True,False,False,False
132,0.99,0.001,0.2954,0.3471,105.0,845.0,-547.1992,90.0,False,False,True,True,False
96,0.7904,0.2268,0.2351,0.3131,141.0,1513.0,-965.9612,74.0,True,False,False,False,False
104,0.9109,0.001,0.4,0.2535,105.0,1033.0,-613.2495,23.0,False,True,True,True,False
93,0.9371,0.001,0.2548,0.2663,104.0,996.0,-592.3574,32.0,False,False,True,True,False
92,0.8365,0.3079,0.3294,0.2373,121.0,1053.0,-600.614,100.0,True,False,False,False,False
116,0.7423,0.1083,0.4,0.3252,126.0,1315.0,-855.6903,73.0,False,True,False,False,False
102,0.4252,0.6284,0.4,0.1848,72.0,322.0,-180.3974,44.0,False,True,False,False,False
85,0.4536,0.0282,0.4,0.3123,263.0,8240.0,-5346.9838,39.0,False,True,False,False,False
80,0.8798,0.2287,0.217,0.3251,130.0,2018.0,-1286.5995,100.0,True,False,False,False,False
5,0.8159,0.4735,0.0748,0.1568,104.0,894.0,-421.174,100.0,True,False,False,False,False
2,0.8681,0.0299,0.4,0.1708,179.0,9763.0,-4641.4903,26.0,False,True,False,False,False
13,0.8503,0.1549,0.4,0.1975,71.0,444.0,-241.0768,53.0,False,True,False,False,False
179,0.9146,0.0045,0.4,0.2291,302.0,24321.0,-13457.342,18.0,False,True,True,True,False
180,0.7667,0.3818,0.4,0.0838,29.0,160.0,-60.0807,20.0,False,True,False,False,False
12,0.7245,0.2922,0.4,0.1383,67.0,415.0,-197.6516,27.0,False,True,False,False,False
11,0.0734,0.246,0.4,0.2165,105.0,880.0,-545.3688,71.0,False,True,False,False,False
7,0.1307,0.1924,0.4,0.2409,179.0,5299.0,-3099.0199,55.0,False,True,False,False,False
46,0.8828,0.2688,0.1635,0.2452,159.0,2308.0,-1315.8624,47.0,True,False,False,False,False
47,0.8651,0.2594,0.2182,0.2443,163.0,2372.0,-1352.745,60.0,True,False,False,False,False
86,0.9185,0.0244,0.4,0.2394,142.0,1986.0,-1133.2204,32.0,False,True,False,True,False
143,0.7616,0.0061,0.4,0.2613,150.0,5100.0,-3079.4305,33.0,False,True,True,False,False
75,0.1556,0.99,0.3014,0.3213,139.0,1031.0,-651.2057,65.0,True,False,False,False,False
113,0.3124,0.1013,0.4,0.2065,113.0,1039.0,-662.7953,32.0,False,True,False,False,False
122,0.8129,0.3744,0.3307,0.3001,118.0,867.0,-543.9449,100.0,True,False,False,False,False
123,0.01,0.5561,0.2687,0.3949,112.0,993.0,-662.6292,100.0,False,False,False,False,False
140,0.2256,0.0702,0.4,0.2596,92.0,594.0,-404.2688,38.0,False,True,False,False,False
121,0.8487,0.3272,0.3412,0.3115,110.0,1478.0,-928.4774,99.0,True,False,False,False,False
112,0.7078,0.2501,0.4,0.1174,86.0,504.0,-237.0424,30.0,False,True,False,False,False
133,0.8316,0.0798,0.4,0.2928,110.0,1138.0,-714.3565,49.0,False,True,False,False,False
73,0.5668,0.2386,0.4,0.2571,127.0,1132.0,-693.3192,52.0,False,True,False,False,False
117,0.155,0.6111,0.3284,0.4,115.0,1127.0,-772.7241,100.0,False,False,False,False,False
108,0.8206,0.7061,0.4,0.2878,110.0,790.0,-481.0343,80.0,False,True,False,False,False
125,0.7957,0.001,0.4,0.3466,96.0,557.0,-373.7203,63.0,False,True,True,False,False
141,0.4397,0.0994,0.4,0.0801,26.0,179.0,-95.1424,22.0,False,True,False,False,False
137,0.7806,0.062,0.4,0.3473,98.0,606.0,-405.619,100.0,False,True,False,False,False
136,0.2247,0.5329,0.2734,0.2899,72.0,413.0,-264.9754,100.0,True,False,False,False,False
94,0.9455,0.0379,0.4,0.4,130.0,1553.0,-1053.5036,77.0,False,True,False,True,False
131,0.8667,0.001,0.4,0.1982,69.0,373.0,-208.0248,26.0,False,True,True,False,False
88,0.8794,0.0913,0.4,0.255,128.0,1492.0,-873.8848,71.0,False,True,False,False,False
120,0.8401,0.0951,0.4,0.2268,137.0,1821.0,-1022.6396,54.0,False,True,False,False,False
129,0.5117,0.7265,0.399,0.3369,129.0,1348.0,-871.7421,100.0,False,True,False,False,False
119,0.8299,0.0944,0.4,0.2521,139.0,2472.0,-1443.6794,36.0,False,True,False,False,False
118,0.9806,0.6679,0.4,0.3992,113.0,1063.0,-715.3454,100.0,False,True,False,True,False
91,0.359,0.5392,0.4,0.3821,104.0,517.0,-350.9434,100.0,False,True,False,False,False
105,0.8377,0.0291,0.4,0.2872,112.0,1094.0,-689.5514,68.0,False,True,False,False,False
87,0.7739,0.065,0.3875,0.3005,139.0,1668.0,-1060.2241,72.0,True,False,False,False,False
114,0.79,0.001,0.3704,0.3537,114.0,1132.0,-758.8675,68.0,False,False,True,False,False
111,0.99,0.8362,0.4,0.3778,57.0,357.0,-236.7708,100.0,False,True,False,True,False
40,0.7812,0.1007,0.4,0.2199,139.0,2917.0,-1600.458,43.0,False,True,False,False,False
33,0.7253,0.0783,0.4,0.2079,170.0,3383.0,-1848.4614,34.0,False,True,False,False,False
89,0.8744,0.6223,0.0924,0.2629,102.0,688.0,-407.42,100.0,True,False,False,False,False
109,0.6441,0.565,0.4,0.2332,120.0,816.0,-468.2912,67.0,False,True,False,False,False
110,0.6296,0.3014,0.4,0.2509,97.0,435.0,-271.3334,100.0,False,True,False,False,False
36,0.7094,0.0751,0.4,0.2349,166.0,3656.0,-2096.0166,42.0,False,True,False,False,False
37,0.696,0.0594,0.4,0.2493,169.0,4161.0,-2447.9561,46.0,False,True,False,False,False
23,0.8754,0.0894,0.4,0.1885,153.0,2330.0,-1180.3454,63.0,False,True,False,False,False
101,0.3273,0.715,0.3875,0.3063,102.0,711.0,-451.6227,100.0,True,False,False,False,False
50,0.8289,0.0934,0.4,0.2236,125.0,1830.0,-1021.1271,38.0,False,True,False,False,False
145,0.2303,0.4909,0.0816,0.2322,139.0,746.0,-443.8669,100.0,True,False,False,False,False
100,0.2508,0.8274,0.2156,0.376,132.0,849.0,-561.0251,100.0,False,False,False,False,False
6,0.0283,0.6998,0.3957,0.2496,128.0,1808.0,-1046.9837,100.0,False,True,False,False,False
58,0.8176,0.0079,0.4,0.2982,115.0,2411.0,-1536.7944,35.0,False,True,True,False,False
56,0.9135,0.001,0.4,0.2594,128.0,5961.0,-3516.5517,16.0,False,True,True,True,False
54,0.8132,0.0046,0.4,0.2402,139.0,7349.0,-4263.0638,22.0,False,True,True,False,False
53,0.4466,0.0416,0.4,0.2302,149.0,7137.0,-4140.1001,46.0,False,True,False,False,False
55,0.7455,0.007,0.4,0.2728,126.0,3866.0,-2386.4093,30.0,False,True,True,False,False
52,0.0157,0.0324,0.3452,0.2541,752.0,15530.0,-9575.9413,44.0,True,False,False,False,False
57,0.3757,0.0109,0.4,0.2695,111.0,2124.0,-1410.9962,21.0,False,True,False,False,False
70,0.8169,0.0421,0.4,0.2577,75.0,819.0,-496.8052,60.0,False,True,False,False,False
59,0.055,0.0847,0.1715,0.3026,724.0,5711.0,-3371.9715,20.0,True,False,False,False,False
62,0.99,0.4899,0.4,0.3307,82.0,501.0,-318.256,100.0,False,True,False,True,False
60,0.7359,0.0124,0.4,0.2783,102.0,3261.0,-2027.6098,28.0,False,True,False,False,False
68,0.7823,0.0243,0.4,0.286,78.0,1090.0,-687.8968,42.0,False,True,False,False,False
64,0.068,0.0683,0.323,0.2352,737.0,6042.0,-3880.9874,38.0,True,False,False,False,False
67,0.816,0.1898,0.328,0.2473,79.0,1161.0,-673.2114,59.0,True,False,False,False,False
152,0.3009,0.0394,0.2639,0.2478,692.0,3189.0,-2070.5533,61.0,True,False,False,False,False
147,0.78,0.0318,0.4,0.2124,86.0,2380.0,-1312.9986,20.0,False,True,False,False,False
163,0.8895,0.001,0.4,0.1887,37.0,290.0,-156.5094,80.0,False,True,True,False,False
178,0.736,0.0076,0.4,0.2465,101.0,4945.0,-2905.133,18.0,False,True,True,False,False
149,0.6244,0.0265,0.4,0.229,103.0,3852.0,-2227.2169,26.0,False,True,False,False,False
151,0.8513,0.001,0.2964,0.3283,65.0,879.0,-569.1594,27.0,False,False,True,False,False
159,0.7339,0.001,0.4,0.2159,77.0,2115.0,-1195.6589,27.0,False,True,True,False,False
172,0.8618,0.0184,0.314,0.28,72.0,1035.0,-635.9838,55.0,True,False,False,False,False
174,0.7373,0.0684,0.2371,0.1959,35.0,185.0,-107.883,56.0,True,False,False,False,False
153,0.8524,0.001,0.3746,0.2105,91.0,2091.0,-1136.6363,20.0,False,False,True,False,False
148,0.6816,0.166,0.3552,0.232,58.0,766.0,-442.202,46.0,True,False,False,False,False
150,0.8974,0.001,0.3474,0.2478,69.0,957.0,-556.2643,43.0,False,False,True,False,False
146,0.8742,0.0081,0.4,0.2212,91.0,2508.0,-1389.1322,20.0,False,True,True,False,False
161,0.7388,0.1067,0.4,0.203,55.0,475.0,-270.7277,27.0,False,True,False,False,False
162,0.7909,0.001,0.4,0.246,86.0,3100.0,-1820.0267,16.0,False,True,True,False,False
170,0.9281,0.0245,0.2255,0.3265,69.0,871.0,-557.015,48.0,True,False,False,True,False
173,0.7314,0.244,0.4,0.1623,43.0,230.0,-121.9072,29.0,False,True,False,False,False
175,0.1782,0.1967,0.4,0.3313,42.0,265.0,-179.5001,62.0,False,True,False,False,False
156,0.9029,0.001,0.3977,0.2357,68.0,879.0,-500.2011,38.0,False,True,True,True,False
8,0.8381,0.1678,0.4,0.1638,105.0,1066.0,-512.4889,28.0,False,True,False,False,False
3,0.7877,0.3678,0.3855,0.1554,70.0,469.0,-224.9608,78.0,True,False,False,False,False
4,0.9185,0.2538,0.4,0.1862,80.0,801.0,-396.6405,51.0,False,True,False,True,False
18,0.8048,0.1093,0.4,0.184,84.0,620.0,-335.1127,32.0,False,True,False,False,False
66,0.7837,0.0179,0.4,0.2274,77.0,1019.0,-600.1867,33.0,False,True,False,False,False
134,0.6803,0.0455,0.4,0.2848,140.0,1397.0,-898.4244,55.0,False,True,False,False,False
98,0.8544,0.0262,0.4,0.2165,144.0,1857.0,-1035.372,24.0,False,True,False,False,False
1,0.9627,0.001,0.1751,0.1645,74.0,662.0,-306.0393,40.0,False,False,True,True,False
19,0.4092,0.5395,0.4,0.1807,84.0,608.0,-324.2082,47.0,False,True,False,False,False
17,0.8093,0.6924,0.3823,0.3059,92.0,906.0,-563.4829,100.0,True,False,False,False,False
65,0.8032,0.897,0.4,0.2453,73.0,670.0,-378.7099,100.0,False,True,False,False,False
15,0.9413,0.3158,0.1158,0.1566,71.0,488.0,-221.6562,88.0,True,False,False,True,False
22,0.9389,0.5785,0.4,0.1393,72.0,507.0,-210.5136,49.0,False,True,False,True,False
167,0.8953,0.001,0.3451,0.2222,55.0,880.0,-484.7647,46.0,False,False,True,False,False
177,0.274,0.0438,0.2861,0.2414,700.0,5481.0,-3398.2006,30.0,True,False,False,False,False
168,0.6985,0.1513,0.4,0.1399,27.0,210.0,-102.8449,33.0,False,True,False,False,False
10,0.9008,0.397,0.4,0.164,75.0,643.0,-298.1426,37.0,False,True,False,True,False
16,0.8214,0.4476,0.4,0.1057,77.0,503.0,-194.4493,23.0,False,True,False,False,False
9,0.8767,0.1281,0.4,0.1279,87.0,780.0,-332.9898,29.0,False,True,False,False,False
155,0.7006,0.0252,0.4,0.2652,81.0,2362.0,-1442.5695,30.0,False,True,False,False,False
61,0.6489,0.2563,0.4,0.1931,74.0,582.0,-321.6591,26.0,False,True,False,False,False
157,0.7361,0.001,0.381,0.2217,51.0,627.0,-369.4554,48.0,False,False,True,False,False
158,0.8712,0.001,0.4,0.2618,73.0,2325.0,-1380.1654,19.0,False,True,True,False,False
63,0.928,0.0074,0.3307,0.25,94.0,2157.0,-1243.2513,21.0,False,False,True,True,False
130,0.6553,0.0825,0.4,0.3196,156.0,1532.0,-1008.4738,68.0,False,True,False,False,False
69,0.9713,0.0387,0.1644,0.3178,66.0,465.0,-293.8005,100.0,False,False,False,True,False
126,0.6845,0.2668,0.3623,0.3805,106.0,774.0,-523.7791,100.0,False,False,False,False,False
14,0.9751,0.001,0.4,0.1982,79.0,679.0,-345.0703,47.0,False,True,True,True,False
51,0.9251,0.1165,0.4,0.4,121.0,935.0,-633.9924,100.0,False,True,False,True,False
194,0.7881,0.037,0.4,0.3298,75.0,846.0,-551.4515,59.0,False,True,False,False,False
142,0.01,0.242,0.228,0.306,57.0,419.0,-268.7283,76.0,True,False,False,False,False
79,0.8026,0.4166,0.3263,0.3702,109.0,925.0,-616.0186,100.0,False,False,False,False,False
20,0.8628,0.5047,0.0248,0.274,94.0,868.0,-521.8202,100.0,True,False,False,False,False
21,0.8628,0.5047,0.0248,0.274,94.0,868.0,-521.8202,100.0,True,False,False,False,False
124,0.8746,0.0417,0.3131,0.4,113.0,854.0,-583.2646,100.0,False,False,False,False,False
128,0.5691,0.0896,0.4,0.2257,106.0,729.0,-458.4486,62.0,False,True,False,False,False
176,0.7822,0.0231,0.4,0.2293,87.0,2390.0,-1361.3722,22.0,False,True,False,False,False
169,0.056,0.2239,0.2906,0.2404,38.0,354.0,-224.7318,67.0,True,False,False,False,False
164,0.6531,0.001,0.3396,0.2329,48.0,560.0,-341.6284,26.0,False,False,True,False,False
97,0.2171,0.6529,0.4,0.4,111.0,713.0,-484.0525,100.0,False,True,False,False,False
165,0.8661,0.0207,0.4,0.2064,51.0,410.0,-228.6314,45.0,False,True,False,False,False
154,0.8614,0.1007,0.4,0.1457,35.0,325.0,-152.9579,16.0,False,True,False,False,False
166,0.7638,0.001,0.4,0.2444,45.0,465.0,-282.3461,39.0,False,True,True,False,False
171,0.8263,0.1167,0.4,0.1661,42.0,244.0,-127.9366,34.0,False,True,False,False,False
160,0.2419,0.1146,0.3443,0.2808,31.0,235.0,-158.3504,53.0,True,False,False,False,False
-1,0.01,0.001,0.001,0.4,2.0,9.0,-0.0342,4.0,False,False,True,False,True
300,0.3445,0.99,0.2726,0.0625,2.0,18.0,-5.1363,10.0,False,False,False,False,True
196,0.6191,0.4343,0.001,0.4,8.0,56.0,-37.9185,54.0,False,False,False,False,False
